Indicator,,,,,,,,,,,,
Year,,2015,2015,,,,,,,,,
Gender,,2015,Total,,,,,,,,,
International students exclusion,,2015,"World (all entities, including reference area, including IO)",,,,,Excluding mobile students,,,,
Education level and programe orientation,,2015,Short-cycle tertiary education (ISCED2011 level 5),Bachelor・s or equivalent level (ISCED2011 level 6),Master・s or equivalent level (ISCED2011 level 7),Doctoral or equivalent level  (ISCED2011 level 8),Total tertiary education (ISCED2011 levels 5 to 8),Short-cycle tertiary education (ISCED2011 level 5),Bachelor・s or equivalent level (ISCED2011 level 6),Master・s or equivalent level (ISCED2011 level 7),Doctoral or equivalent level  (ISCED2011 level 8),Total tertiary education (ISCED2011 levels 5 to 8)
Country,Age,2015,,,,,,,,,,
Australia,Total: All age groups,2015,14.7,59.5,20.2,2.5,76.1,10.7,44,8.7,1.6,45.3
Australia,Less than 30,2015,9.6,49.1,,,63.6,5.7,35.3,,,37.3
Australia,Less than 35,2015,,,16.1,1.3,,,,5.9,0.8,
Canada,Total: All age groups,2015,21.3,39.7,11.3,1.5,,16.7,36.5,8.9,1.2,
Canada,Less than 30,2015,17.2,35.7,,,,13.1,32.7,,,
Canada,Less than 35,2015,,,8.7,1,,,,6.5,0.7,
Denmark,Total: All age groups,2015,12.3,53.5,28.2,3.2,64.9,10.2,49.8,23,2.2,56.3
Denmark,Less than 30,2015,9.9,45,,,54.8,8,41.9,,,47.4
Denmark,Less than 35,2015,,,25.6,2.3,,,,20.7,1.4,
France,Total: All age groups,2015,,,,,,,,,,
France,Less than 30,2015,,,,,,,,,,
France,Less than 35,2015,,,,,,,,,,
Germany,Total: All age groups,2015,0,32.3,17.4,2.9,38.7,0,31.3,15.4,2.4,37.5
Germany,Less than 30,2015,0,27.2,,,32.5,0,26.4,,,31.6
Germany,Less than 35,2015,,,16.5,2.3,,,,14.7,2,
Israel,Total: All age groups,2015,,42.1,18.8,1.5,,,40.9,18,1.4,
Israel,Less than 30,2015,,31.3,,,,,30.8,,,
Israel,Less than 35,2015,,,11,0.6,,,,10.4,0.5,
Japan,Total: All age groups,2015,25.1,45.5,8.1,1.2,72.1,24.1,44.5,7.4,1,69.4
Japan,Less than 30,2015,,,,,,,,,,
Japan,Less than 35,2015,,,,,,,,,,
Netherlands,Total: All age groups,2015,0.8,44.2,18.5,2.3,48.8,0.8,39.8,14.4,1.3,41.3
Netherlands,Less than 30,2015,0.6,41.9,,,45.6,0.6,37.8,,,38.8
Netherlands,Less than 35,2015,,,17.6,1.9,,,,13.6,1.1,
South Korea,Total: All age groups,2015,,,,1.6,,,,,,
South Korea,Less than 30,2015,,,,,,,,,,
South Korea,Less than 35,2015,,,,0.7,,,,,,
Sweden,Total: All age groups,2015,7,26.3,20.5,2.4,40.6,7,25.7,16.9,1.6,36.7
Sweden,Less than 30,2015,4.3,18.5,,,28.5,4.3,18.1,,,25.6
Sweden,Less than 35,2015,,,16.1,1.4,,,,12.9,0.8,
Switzerland,Total: All age groups,2015,0.4,47.9,17.7,3.3,48.6,0.4,44.5,13.4,1.5,45.2
Switzerland,Less than 30,2015,0.1,37.5,,,37.6,0.1,34.4,,,34.5
Switzerland,Less than 35,2015,,,15.7,2.6,,,,11.7,1.2,
United Kingdom,Total: All age groups,2015,6.3,44.4,22.3,3,44.2,5.8,37.2,11,1.7,38.9
United Kingdom,Less than 30,2015,4.8,40,,,39.9,4.3,33,,,34.7
United Kingdom,Less than 35,2015,,,18.5,2.1,,,,7.9,1.2,
USA,Total: All age groups,2015,22.9,39,19.8,1.6,54.9,22.5,37.6,17,1.2,53.4
USA,Less than 30,2015,,,,,,,,,,
USA,Less than 35,2015,,,,,,,,,,
